target,o2_1,o2_2,nh4_1,nh4_2,no2_1,no2_2,no3_1,no3_2,bod5_1,bod5_2
12.58,9.875,9.2,0.69,1.04,0.094,0.099,1.58,1.825,4.800000000000002,5.85
9.37,10.3,10.75,0.71,0.725,0.0585,0.0515,1.21,0.905,5.880000000000001,6.835
8.35,8.29,7.9,2.21,2.21,0.1,0.11,1.34,1.25,3.2,2.7
9.57,8.82,6.8,0.595,0.675,0.046,0.0535,0.5900000000000001,0.79,7.699999999999998,7.055
6.0,6.0,6.5,0.6,0.9,0.18,0.34,1.36,1.82,5.5,5.3
10.19,9.406666666666668,9.273333333333332,0.8966666666666668,1.0433333333333332,0.1033333333333333,0.0993333333333333,2.93,2.5900000000000003,4.913333333333333,4.476666666666667
7.34,7.785,8.09,0.405,0.255,0.195,0.3,1.235,1.335,3.71,3.755
11.3,11.6,11.6,1.67,1.35,0.029,0.06,2.14,2.67,3.75,3.6
12.14,12.44,12.75,0.6,0.6,0.114,0.157,4.36,4.5,2.13,5.4
9.71,11.22,10.05,0.39,0.41,0.031,0.06,0.26,0.45,2.24,4.22
7.1,7.695,6.49,0.392,1.205,0.3095,0.4715,1.47,1.665,5.705,4.68
12.92,12.79,11.65,0.7200000000000001,0.565,0.075,0.05,1.735,1.825,6.58,2.715
9.7,10.0,11.2,1.72,1.07,0.157,0.1669999999999999,6.25,5.09,1.17,1.46
18.95,18.05,17.4,1.485,1.35,0.078,0.0535,6.025,3.38,7.550000000000002,8.5
10.9,10.45,9.55,1.645,1.475,0.08,0.1335,4.0,3.31,5.35,4.15
9.97,8.299999999999999,8.566666666666666,1.393333333333333,1.5033333333333332,0.1023333333333333,0.1033333333333333,4.16,3.606666666666667,3.053333333333333,3.8666666666666663
9.03,8.366666666666665,8.433333333333334,1.3133333333333337,1.4666666666666668,0.1566666666666667,0.21,2.103333333333333,2.466666666666667,4.733333333333333,4.833333333333333
9.7,7.1,7.4,0.97,0.88,0.06,0.04,1.4,1.3,3.5,2.3
6.8,9.7,7.4,1.1,0.7,0.06,0.05,7.5,7.8,4.8,3.0
8.8,9.1,8.5,1.09,0.96,0.05,0.04,0.98,0.35,5.3,4.07
6.5,7.699999999999998,8.0,0.6,0.9566666666666668,0.0333333333333333,0.0366666666666666,4.866666666666666,3.6666666666666665,5.233333333333333,4.8
9.47,5.75,9.333333333333334,0.7250000000000001,0.8233333333333334,0.08,0.0533333333333333,1.7999999999999998,2.2,3.9,4.8
11.45,8.7,6.2,0.8,0.6,0.07,0.11,2.1,1.7,5.6,5.3
12.4,10.6,12.6,0.64,0.9,0.17,0.07,1.9,1.6,4.4,3.5
12.5,11.9,12.2,0.32,0.12,0.3,0.09,2.6,1.4,6.8,7.4
12.4,11.9,12.1,0.83,0.95,0.08,0.12,3.9,3.7,3.3,2.9
11.2,10.6,10.6,0.7,0.8,0.16,0.16,3.0,2.6,6.5,5.9
8.5,7.5,8.1,0.41,0.47,0.21,0.11,2.1,2.3,3.6,4.5
9.4,8.7,9.0,0.77,0.74,0.04,0.052,0.84,1.85,4.7,3.8
7.9,8.2,9.6,1.33,1.75,0.04,0.02,7.7,8.11,2.2,3.4
